file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00,0 days 00:00:00.020000,0.26312792,-18.748053,30.038443,-0.05882169,-0.013652351,0.0,0.0,0.0,0.0,0.0,0.0,468.96252,1462.9838,-201.0,1540.5526,-201.0,2618.4133,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.010000,0 days 00:00:00.030000,0.2536147,-20.754812,32.350697,-0.068508215,-0.017372495,0.0,0.0,0.0,0.0,0.0,0.0,502.49496,1435.9541,-201.0,1622.4718,-201.0,2854.304,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.020000,0 days 00:00:00.040000,0.2550486,-22.466034,34.71192,-0.07319849,-0.023520306,0.0,0.0,0.0,0.0,0.0,0.0,529.863,1445.0336,-201.0,1693.5206,-201.0,3167.0889,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.030000,0 days 00:00:00.050000,0.24824579,-20.270517,33.87717,-0.05377697,-0.018085541,0.0,0.0,0.0,0.0,0.0,0.0,622.962,1385.4072,-201.0,1693.3984,-201.0,3184.837,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.040000,0 days 00:00:00.060000,0.24390192,-18.609446,32.19029,-0.03846988,-0.018008905,0.0,0.0,0.0,0.0,0.0,0.0,591.0762,1421.6058,-201.0,1638.778,-201.0,2902.83,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.050000,0 days 00:00:00.070000,0.22661829,-17.331694,30.017105,-0.036911063,-0.016059289,0.0,0.0,0.0,0.0,0.0,0.0,576.3076,1461.3527,-201.0,1629.984,-201.0,2916.9216,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.060000,0 days 00:00:00.080000,0.21606205,-17.675814,30.175283,-0.037008386,-0.018314963,0.0,0.0,0.0,0.0,0.0,0.0,412.61636,1411.1074,-135.57469,1546.817,-138.84398,2672.4006,-143.17317
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.070000,0 days 00:00:00.090000,0.21662676,-16.695288,27.161242,-0.036254447,-0.018287137,12.440818,0.0,0.0,-5.4893026,-0.31711888,23.92265,424.61252,1357.3406,-71.24445,1540.6992,-79.60096,2672.041,-82.622665
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.080000,0 days 00:00:00.100000,0.22324665,-18.327774,29.963745,-0.03780375,-0.022598283,12.537891,0.0,0.0,-4.82754,2.43175,29.392218,447.36,1230.6942,-7.8021736,1550.4424,-19.93614,2577.3303,-27.226044
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.090000,0 days 00:00:00.110000,0.2265095,-21.404524,34.358025,-0.047185794,-0.027446369,12.751906,0.0,0.0,-3.7387407,7.420008,35.19341,455.6462,1178.2145,-11.375583,1584.7311,-23.969223,2736.5505,-30.675964
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.100000,0 days 00:00:00.120000,0.23324656,-25.195084,39.36945,-0.068384685,-0.032860506,13.711178,0.0,0.0,-4.7191215,11.040044,41.102036,484.01608,1317.2222,-13.919251,1655.1909,-26.88746,3031.7031,-37.72035
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.110000,0 days 00:00:00.130000,0.22995973,-25.074091,38.57365,-0.07081872,-0.026360117,16.137764,0.0,0.0,-4.326559,8.140304,37.026478,629.35376,1451.7448,-20.924467,1721.9369,-31.976934,3055.5586,-41.25813
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.120000,0 days 00:00:00.140000,0.2234631,-24.812033,36.134293,-0.08144777,-0.022280484,19.367086,0.0,0.0,-3.2411098,8.107062,31.952944,601.1672,1655.1927,-23.860046,1714.9283,-35.851395,3068.4434,-43.594868
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.130000,0 days 00:00:00.150000,0.22891562,-26.090002,38.526184,-0.07759162,-0.020125372,21.560888,0.0,3.492291,-1.4632808,6.051819,27.505056,557.81635,1725.6914,-25.924606,1725.2109,-36.75755,3089.7932,-43.755207
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.140000,0 days 00:00:00.160000,0.24664383,-27.2417,40.504955,-0.07550833,-0.021381425,21.833427,0.0,3.4922912,-0.5046977,10.2102995,26.883348,589.29254,1621.091,-24.298876,1814.3405,-35.740185,3089.9563,-42.04468
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.150000,0 days 00:00:00.170000,0.31197238,-26.288458,40.812687,-0.07288123,-0.019478785,21.08541,0.0,3.0439613,0.038062174,6.5189114,22.064438,765.4671,1439.9503,-25.608698,1898.708,-34.707558,3107.718,-40.84927
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.160000,0 days 00:00:00.180000,0.4153715,-22.872705,38.207073,-0.08526793,-0.010796242,20.01354,0.12608196,2.5956311,0.30720097,5.3640428,21.765314,963.24,1118.3964,-29.150826,2018.1901,-35.31326,3117.5867,-41.92837
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.170000,0 days 00:00:00.190000,0.47651386,-21.411196,37.43092,-0.116413735,-0.009579276,19.159584,0.12608196,2.1473012,-0.6466176,1.8005186,21.968817,933.05194,1053.5547,-27.84368,1949.7247,-35.3752,3111.092,-42.904705
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.180000,0 days 00:00:00.200000,0.43913293,-24.083387,39.85241,-0.1286485,-0.013335709,19.41119,0.12041134,2.911356,-1.1597213,4.6834283,26.975405,889.1768,1069.6174,-27.187422,1922.1421,-34.41029,3068.46,-43.536884
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.190000,0 days 00:00:00.210000,0.33568943,-26.483818,40.46842,-0.12117332,-0.021665737,20.41554,0.11474071,3.6754112,-0.51963514,5.2842193,25.79129,802.5537,1552.0524,-23.140524,1790.712,-33.01945,3042.9065,-41.666378
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.200000,0 days 00:00:00.220000,0.26768157,-26.933416,40.4398,-0.08230346,-0.022078102,20.93091,0.109070085,4.439466,1.2159753,6.3542504,25.307154,562.04315,1866.6685,-18.823072,1663.2657,-31.371256,2973.1465,-39.03789
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.210000,0 days 00:00:00.230000,0.24131139,-25.435854,38.220936,-0.07528272,-0.018706018,20.443758,0.07963588,4.3356595,1.7314159,4.8655763,26.235878,428.46066,1941.4686,-12.689944,1562.6715,-29.009573,2906.8298,-36.168392
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.220000,0 days 00:00:00.240000,0.2380501,-26.065125,38.576496,-0.0665613,-0.020499961,17.917383,0.050201673,4.2318535,-0.230354,3.557618,27.37742,346.42276,1596.1451,-7.9848123,1575.9248,-25.756231,2644.204,-32.08711
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.230000,0 days 00:00:00.250000,0.22456883,-28.791006,40.383408,-0.08282138,-0.020309856,15.741809,0.020767467,4.1280475,-2.3696737,4.0627155,30.67209,392.2982,1503.8478,-8.231327,1571.6115,-24.728804,2589.9744,-32.70138
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.240000,0 days 00:00:00.260000,0.21943836,-30.022552,43.236195,-0.08401534,-0.017268555,13.67551,0.020767467,4.1280475,-4.134515,4.6524277,31.175205,726.68506,1505.6011,-72.62721,1975.6779,-83.33652,2966.0984,-88.174286
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.250000,0 days 00:00:00.270000,0.20331676,-26.789751,40.347546,-0.07773965,-0.017632397,0.0,0.0,0.0,0.0,0.0,0.0,737.8748,1568.1455,-137.55913,1957.2142,-142.79361,3172.5742,-146.39276
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.260000,0 days 00:00:00.280000,0.19758452,-24.39343,37.765656,-0.06546814,-0.020998925,0.0,0.0,0.0,0.0,0.0,0.0,849.4842,1545.1011,-141.73589,2031.354,-144.06325,3300.2676,-147.07332
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.270000,0 days 00:00:00.290000,0.18833566,-22.12603,33.0726,-0.051461503,-0.024281636,13.68404,0.0,0.0,-0.78779364,103.55995,36.814598,518.76843,1429.2181,-80.198616,1615.5055,-86.85937,2815.1777,-92.760994
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.280000,0 days 00:00:00.300000,0.19093968,-24.192085,35.41531,-0.0746635,-0.019064743,13.731984,0.0,0.0,-1.3026024,71.67309,35.372234,660.54376,1352.6084,-21.881638,1688.8184,-29.527136,2855.083,-37.194946
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.290000,0 days 00:00:00.310000,0.18769008,-24.25757,36.49931,-0.08321038,-0.014797759,13.877116,0.0,2.9443626,-2.0804672,9.062831,32.979717,556.41516,1282.2596,-19.771725,1580.1123,-29.88259,2693.6555,-34.85964
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.300000,0 days 00:00:00.320000,0.19390301,-27.22724,42.92149,-0.10321126,-0.014169265,14.380876,0.0,2.9443626,-5.0050397,10.745461,31.11556,483.8763,1561.0809,-19.743935,1545.8773,-31.351,2770.9187,-33.15656
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.310000,0 days 00:00:00.330000,0.19832057,-26.696398,42.519493,-0.09281395,-0.013863176,15.188453,0.0,2.9443626,-6.4069753,8.425687,27.623438,296.97952,1665.4547,-18.735373,1438.6094,-32.067966,2657.1345,-33.238346
